"","Group","Spp","Taxa_specific1","FFG","Length","YOY","d15N","d13C","Community"
"221","Littoral","Sphaeriidae","Sphaeriidae","Pelagic_BL",NA,NA,3.23,-28.03,"Kabetogama-2018"
"222","Littoral","Sphaeriidae","Sphaeriidae","Pelagic_BL",NA,NA,4.33,-31.72,"Kabetogama-2018"
"223","Littoral","Chironomidae","Chironomidae","Pelagic_BL",NA,NA,5.14,-31.05,"Kabetogama-2018"
"224","Pelagic","Zooplankton","Cladocera","Pelagic_BL",NA,NA,4.607399555,-31.09600166,"Kabetogama-2018"
"225","Littoral","Sphaeriidae","Sphaeriidae","Pelagic_BL",NA,NA,4.51,-28.28,"Leech-2017"
"226","Littoral","Ephemeroptera","Hexagenia","Pelagic_BL",NA,NA,4.56,-28.38,"Leech-2017"
"227","Littoral","Ephemeroptera","Hexagenia","Pelagic_BL",NA,NA,3.63,-25.93,"Leech-2017"
"228","Littoral","Ephemeroptera","Hexagenia","Pelagic_BL",NA,NA,5.16,-25.76,"Leech-2017"
"229","Littoral","Ephemeroptera","Hexagenia","Pelagic_BL",NA,NA,5.02,-25.24,"Leech-2017"
"230","Pelagic","Zooplankton","Cladocera","Pelagic_BL",NA,NA,7.78,-32.47,"Leech-2017"
"231","Pelagic","Zooplankton","Cladocera","Pelagic_BL",NA,NA,5.15,-31.96,"Leech-2017"
"232","Pelagic","Zooplankton","Cladocera","Pelagic_BL",NA,NA,6.42,-25.59,"Leech-2017"
"233","Pelagic","Zooplankton","Cladocera","Pelagic_BL",NA,NA,10.16,-32.21,"Leech-2017"
"234","Pelagic","Zooplankton","Cladocera","Pelagic_BL",NA,NA,7.59,-26.22,"Leech-2017"
"235","Pelagic","Deepwater Zooplankton","Cladocera","Pelagic_BL",NA,NA,4.358242289,-30.97050912,"Leech-2018"
"236","Pelagic","Deepwater Zooplankton","Cladocera","Pelagic_BL",NA,NA,10.10493407,-32.86587933,"Leech-2018"
"237","Pelagic","Deepwater Zooplankton","Cladocera","Pelagic_BL",NA,NA,5.552790633,-29.55547245,"Leech-2018"
"238","Pelagic","Deepwater Zooplankton","Cladocera","Pelagic_BL",NA,NA,6.751357643,-28.56343222,"Leech-2018"
"239","Pelagic","Deepwater Zooplankton","Cladocera","Pelagic_BL",NA,NA,7.960975983,-29.10110288,"Leech-2018"
